1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132
name,numberOfPlayer,Poss,age,matches_played,starts,minutes,non_penalty_goals,penalty_goals,assists,yellow_cards,red_cards,xG,npxG,xAG,PrgC,PrgP,PrgR,per90_Gls,per90_Ast,per90_G+A,per90_G-PK,per90_G+A-PK,per90_xG,per90_xAG,per90_xG+xAG,per90_npxG,per90_npxG+xAG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,GK_Save%,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG_shooting,npxG_shooting,npxG/Sh,G-xG,np:G-xG,Pass_Cmp,Pass_Att,Pass_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Pass_Live,Pass_Dead,Pass_FK,Pass_TB,Pass_Sw,Pass_Crs,Pass_TI,Pass_CK,Pass_Cmp_outcome,Pass_Off,Pass_Blocks,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live_Touches,Take_Att,Take_Succ,Take_Succ%,Take_Tkld,Take_Tkld%,Carries,Carries_TotDist,Carries_ProDist,Carries_ProgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Fls,Fld,Off,Crs,OG,Recov,Aerial_Won,Aerial_Lost,Aerial_Won%
Arsenal,25,58.2,25.0,38,418,3420,76,10,62,64,2,76.1,68.5,55.3,821,2106,N/a,2.26,1.63,3.89,2,3.63,2,1.46,3.46,1.8,3.26,29,0.76,83,54,67.5,28,5,5,18,47.4,3,2,1,0,33.3,86,647,209,32.3,17.03,5.5,0.12,0.36,15.8,6,10,10,76.1,68.5,0.11,9.9,7.5,19094,22558,84.6,309533,102210,9719,10643,91.3,7809,8765,89.1,1178,2162,54.5,62,55.3,57.8,6.7,513,1546,548,68,2106,20941,1530,443,104,65,670,560,265,19094,87,319,610,348,257,246,107,271,543,49.9,272,26493,1974,6714,11407,8560,1480,26483,671,283,42.2,304,45.3,16297,81171,41510,821,575,327,525,375,391,394,87,670,1,1752,503,499,50.2
Aston Villa,31,53.1,26.9,38,418,3420,68,4,55,94,2,63.3,60.3,48.6,775,1451,N/a,1.89,1.45,3.34,1.79,3.24,1.67,1.28,2.95,1.59,2.87,61,1.61,173,115,65.3,20,8,10,8,21.1,2,1,1,0,50,72,511,182,35.6,13.45,4.79,0.13,0.37,16,15,4,4,63.3,60.3,0.12,8.7,7.7,16133,19363,83.3,281128,95293,7110,7878,90.3,7381,8273,89.2,1330,2368,56.2,55,48.6,42.5,6.4,398,1160,363,67,1451,17499,1817,628,80,95,651,613,231,16133,47,343,547,311,269,210,68,260,550,47.3,290,23058,2807,8170,9636,5459,1010,23054,757,345,45.6,315,41.6,14450,78599,41219,775,490,217,477,416,412,473,47,651,4,1619,334,363,47.9
Bournemouth,30,44.4,25.7,38,418,3420,50,2,39,79,3,55.9,53.6,40.5,709,1314,N/a,1.37,1.03,2.39,1.32,2.34,1.47,1.06,2.54,1.41,2.47,67,1.76,194,127,68.6,13,9,16,9,23.7,7,6,1,0,14.3,52,539,175,32.5,14.18,4.61,0.09,0.29,16.7,18,2,3,55.9,53.6,0.1,-3.9,-3.6,11899,15920,74.7,220978,83235,4976,5868,84.8,5270,6214,84.8,1393,2964,47,39,40.5,33.7,-1.5,414,1074,352,88,1314,14065,1799,419,48,91,709,774,235,11899,56,361,693,410,301,281,111,325,688,47.2,363,20700,2486,6820,8469,5686,1033,20697,872,382,43.8,414,47.5,11015,66369,34635,709,513,240,637,386,507,376,56,709,1,2013,582,671,46.4
Brentford,28,45.2,26.6,38,418,3420,51,3,38,89,2,58.2,56,42.7,505,1283,N/a,1.42,1,2.42,1.34,2.34,1.53,1.12,2.66,1.47,2.6,65,1.71,184,119,65.8,10,9,19,7,18.4,2,2,0,0,0,54,470,159,33.8,12.37,4.18,0.11,0.32,15.6,17,3,3,58.2,56,0.12,-4.2,-5,12551,16818,74.6,225971,88492,5616,6628,84.7,5236,6432,81.4,1382,2776,49.8,38,42.7,40,-4.7,332,965,333,106,1283,14996,1752,464,70,113,706,683,184,12551,70,357,677,399,349,250,78,317,697,45.5,380,21227,2878,7944,8253,5210,982,21224,577,243,42.1,269,46.6,10970,56621,29411,505,363,156,556,271,385,419,70,706,0,1892,632,607,51
Brighton,30,59.8,25.9,38,418,3420,45,5,36,90,3,56.8,52.2,41.6,864,1780,N/a,1.32,0.95,2.26,1.18,2.13,1.49,1.09,2.59,1.37,2.47,62,1.63,165,105,66.1,12,12,14,6,15.8,6,6,0,0,0,50,555,198,35.7,14.61,5.21,0.08,0.23,16.7,11,5,6,56.8,52.2,0.1,-6.8,-7.2,21810,25029,87.1,341060,113686,11574,12473,92.8,8261,9125,90.5,1296,2164,59.9,36,41.6,43.7,-5.6,429,1484,384,81,1780,23334,1611,511,62,76,671,541,206,21810,84,327,644,366,292,252,100,307,658,46.7,351,29112,3197,9449,13090,6766,1081,29106,715,297,41.5,322,45,19020,92960,48884,864,584,269,579,342,414,454,84,671,2,1751,406,345,54.1
Burnley,31,47.4,24.5,38,418,3420,37,3,30,77,7,40.6,38.3,29.7,727,1181,N/a,1.05,0.79,1.84,0.97,1.76,1.07,0.78,1.85,1.01,1.79,78,2.05,244,168,70.5,5,9,24,2,5.3,7,6,1,0,14.3,40,430,137,31.9,11.32,3.61,0.09,0.27,17.7,13,3,3,40.6,38.3,0.09,-0.6,-1.3,13937,17959,77.6,246047,83556,6311,7267,86.8,6017,7042,85.4,1324,2755,48.1,30,29.7,26.6,0.3,326,976,216,54,1181,16189,1694,445,49,77,550,670,180,13937,76,344,607,342,282,247,78,284,584,48.6,300,22181,2907,8021,9196,5155,819,22178,699,300,42.9,329,47.1,12244,66914,35421,727,460,240,517,296,429,353,76,550,3,1727,561,696,44.6
Chelsea,32,58.6,24.2,38,418,3420,65,11,51,109,4,74.5,65.1,51.4,873,1615,N/a,2,1.34,3.34,1.71,3.05,1.96,1.35,3.31,1.71,3.06,63,1.66,186,125,67.7,18,9,11,8,21.1,5,3,1,1,25,76,537,194,36.1,14.13,5.11,0.12,0.34,17.3,22,11,12,74.5,65.1,0.12,1.5,-0.1,20039,23364,85.8,328448,109853,10006,10877,92,8176,9060,90.2,1365,2328,58.6,51,51.4,43.1,-0.4,419,1351,352,51,1615,21587,1692,496,116,101,558,611,202,20039,85,348,663,376,325,235,103,323,630,51.3,307,27725,3035,9367,12068,6558,1039,27713,869,398,45.8,365,42,16624,84615,44082,873,543,291,604,370,446,451,85,558,3,1846,440,402,52.3
Crystal Palace,26,42.3,26.7,38,418,3420,52,4,43,73,2,48.6,45.4,38.7,506,1176,N/a,1.47,1.13,2.61,1.37,2.5,1.28,1.02,2.3,1.2,2.21,58,1.53,154,98,64.3,13,10,15,10,26.3,3,3,0,0,0,56,452,162,35.8,11.89,4.26,0.12,0.32,17.2,20,4,4,48.6,45.4,0.1,7.4,6.6,12915,16754,77.1,225542,84922,6040,6920,87.3,5338,6287,84.9,1204,2608,46.2,43,38.7,31.5,4.3,353,995,273,60,1176,14948,1734,484,52,97,583,721,178,12915,72,366,788,464,373,301,114,337,609,55.3,272,21367,2349,7237,9279,5077,797,21363,737,341,46.3,320,43.4,10943,55546,26838,506,383,170,606,426,457,427,72,583,2,1909,553,555,49.9
Everton,26,40.8,27.1,38,418,3420,38,2,17,82,1,54,51.6,38.1,495,1129,N/a,1.05,0.45,1.5,1,1.45,1.42,1,2.43,1.36,2.36,51,1.34,165,117,73.9,13,9,16,13,34.2,8,8,0,0,0,40,504,152,30.2,13.26,4,0.08,0.25,16.7,14,2,3,54,51.6,0.11,-14,-13.6,11349,15514,73.2,208537,88374,5198,6091,85.3,4386,5405,81.1,1469,3057,48.1,17,38.1,31.8,-21.1,339,958,284,77,1129,13704,1721,409,45,78,752,768,181,11349,89,347,743,442,371,261,111,347,701,49.5,354,20053,2568,6792,8180,5283,809,20050,564,250,44.3,267,47.3,9770,52160,25904,495,389,127,560,320,457,361,89,752,3,1970,676,577,54
