Attribute,Team,Highest Score
Median of age,West Ham,27.5
Mean of age,West Ham,28.272727272727277
Std of age,Brighton,5.69832426866877
Median of matches_played,Fulham,29.0
Mean of matches_played,Fulham,27.23809523809524
Std of matches_played,Wolves,11.930772537155056
Median of starts,Manchester City,24.0
Mean of starts,Fulham,19.904761904761905
Std of starts,Everton,13.720098641021776
Median of minutes,Manchester City,2042.0
Mean of minutes,Manchester City,1785.571428571429
Std of minutes,Everton,1156.4803835216385
Median of non_penalty_goals,Fulham,2.0
Mean of non_penalty_goals,Manchester City,4.047619047619048
Std of non_penalty_goals,Manchester City,5.757396898566143
Median of penalty_goals,Bournemouth,0.0
Mean of penalty_goals,Arsenal,0.4761904761904761
Std of penalty_goals,Chelsea,1.8046236911518885
Median of assists,Liverpool,2.0
Mean of assists,Manchester City,3.238095238095238
Std of assists,Manchester City,3.780274618394303
Median of yellow_cards,Aston Villa,4.0
Mean of yellow_cards,Chelsea,4.32
Std of yellow_cards,Wolves,3.7629775444453553
Median of red_cards,Bournemouth,0.0
Mean of red_cards,Burnley,0.25
Std of red_cards,Tottenham,0.4815434123430768
Median of xG,Liverpool,2.3
Mean of xG,Liverpool,4.1000000000000005
Std of xG,Manchester City,6.645560637784911
Median of npxG,Liverpool,2.15
Mean of npxG,Liverpool,3.7545454545454544
Std of npxG,Manchester City,5.367299578177536
Median of xAG,Liverpool,1.65
Mean of xAG,Liverpool,2.9318181818181817
Std of xAG,Tottenham,3.2418459583069805
Median of PrgC,Liverpool,41.0
Mean of PrgC,Manchester City,53.47619047619048
Std of PrgC,Manchester City,51.45640781051379
Median of PrgP,Manchester City,100.0
Mean of PrgP,Arsenal,99.61904761904762
Std of PrgP,Arsenal,94.09648037545092
Median of PrgR,Liverpool,80.5
Mean of PrgR,Arsenal,98.85714285714286
Std of PrgR,Arsenal,130.50259986463325
Median of per90_Gls,Manchester City,0.15
Mean of per90_Gls,Newcastle Utd,0.2199999999999999
Std of per90_Gls,Aston Villa,0.2595260197758819
Median of per90_Ast,Arsenal,0.17
Mean of per90_Ast,Tottenham,0.1854166666666666
Std of per90_Ast,Tottenham,0.2596314974974216
Median of per90_G+A,Arsenal,0.25
Mean of per90_G+A,Manchester City,0.3561904761904761
Std of per90_G+A,Manchester City,0.350349485378189
Median of per90_G-PK,Manchester City,0.15
Mean of per90_G-PK,Newcastle Utd,0.2029166666666666
Std of per90_G-PK,Aston Villa,0.2592791771423319
Median of per90_G+A-PK,Arsenal,0.25
Mean of per90_G+A-PK,Manchester City,0.3409523809523809
Std of per90_G+A-PK,Tottenham,0.3297649580174216
Median of per90_xG,Newcastle Utd,0.13
